No,Title,Tags,Status,Link
7087,[BUG] Invalid packages when scoped overrides are used butby a different package,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7087
7085,[BUG] npm install cannot update the lock file,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7085
7084,[BUG] npm install remote package does nothing when the package contains a reference to a similar local package,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7084
7083,[ENHANCEMENT] Warn on unmatched globs,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7083
7082,"[BUG] run ""npm publish"" then ""ERR! code ETIMEDOUT""",Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7082
7081,"[BUG] npm 10.2.5 changes the behavior of package.json files globs like ""foo/**/*""",Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7081
7080,[BUG] Performance issue installing packages with large number of Folders,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/7080
7079,[BUG] Prune command adds packages? ,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7079
7078,[DISCUSSION] Is it possible to add an option for using IPv6 only?,,Open,https://github.com/npm/cli/issues/7078
7076,[BUG] npm ci gives timeout error on gitlab runner,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7076
7074,[FEATURE] Make the `npm update` command take effect immediately,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7074
7072,[BUG] Npm opens many connections when installing,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7072
7071,[BUG] Unable to Execute NPM Commands,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7071
7070,[DOCS] npm init keywords example,Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/7070
7067,[BUG] linked install: TypeError: Cannot read properties of undefined (reading 'isProjectRoot'),Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7067
7053,[BUG] npm makes the child processes orphan on EACCES,Bug;Priority 1;Release 10.x,Open,https://github.com/npm/cli/issues/7053
7044,"[BUG] npm start suddenly started giving `npm ERR! Error: EACCES: permission denied, mkdir '/home/myuser'` as of yesterday (2023-11-30)",Bug;Priority 1;Release 10.x,Open,https://github.com/npm/cli/issues/7044
7042,[ENHANCEMENT] Please update this warning to be more clear.,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7042
7035,[BUG] Transitive dependency version in Shrinkwrap is not honored in global installs,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7035
7029,[BUG] ERR! this.idealTree.children.get is not a function,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7029
7028,[BUG] presence of `overrides` breaks ability to downgrade un-hoisted workspace dependencies,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7028
7022,[BUG] ERESOLVE error because only latest version in peer dependency range is respected in dep resolution,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7022
7021,"[BUG] Calling NPM, shrinks command prompt, and sets line break at 20 chars making the prompt unusable.",Bug;Needs Triage;platform:windows;Release 10.x,Open,https://github.com/npm/cli/issues/7021
7019,[BUG] presence of `overrides` prevents hoisting when updating workspace dependencies,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7019
7018,[BUG] presence of `overrides` breaks ability to update un-hoisted workspace dependencies,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/7018
7011,[DOCS] `npm init <package-spec>` is not same as `npx <package-spec>`.,Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/7011
6989,[BUG] specific diff3 conflict is not parsed,Bug;Priority 2;Release 10.x,Open,https://github.com/npm/cli/issues/6989
6986,[BUG] `npm install` writes `package-lock.json` even after failing to find `package.json`,Bug;Priority 2;Release 10.x,Open,https://github.com/npm/cli/issues/6986
6984,[BUG] Global installation / reinstallation of git packages fails if certain npm scripts are present,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6984
6979,[BUG] Updating a dependency in a workspace with `overrides` duplicates the package,Bug;Priority 2;Release 10.x,Open,https://github.com/npm/cli/issues/6979
6968,"[BUG] ""script"": ""echo 'hi'"" prints differently on macOS and windows",Bug;Priority 2;Release 9.x,Open,https://github.com/npm/cli/issues/6968
6967,[BUG] SBOM generation for CycloneDX generates duplicate dependencies,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/6967
6960,"[BUG] npm install --prefix=""$PWD"" adds invalid dependency to package.json",Bug;Priority 2;Release 9.x,Open,https://github.com/npm/cli/issues/6960
6920,[BUG] Exit handler never called,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6920
6906,"[BUG] Got ""Permission Denied"" when execute local CLI command by `npm link` after git commit in current branch",Bug;Needs Triage;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6906
6903,[BUG] Modifying of dependencies installed from tgz fails,Bug;Needs Triage;Release 10.x,Open,https://github.com/npm/cli/issues/6903
6898,[DOCS] package.json#gypfile is not documented,Priority 2;Documentation,Open,https://github.com/npm/cli/issues/6898
6897,Feature request: Streaming when publishing,,Open,https://github.com/npm/cli/issues/6897
6891,[BUG] npm pkg fix repository.url updates don't match documentation,Bug;Priority 2;Documentation;Release 10.x,Open,https://github.com/npm/cli/issues/6891
6874,"[BUG] workspaces `install-strategy = ""nested""` does not install/ignores dependencies ",Bug;Needs Triage;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6874
6864,[BUG] <title>,Bug;Priority 2;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6864
6860,[BUG] Dependencies with local file dependencies result in invalid lockfiles,Bug;Needs Triage;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6860
6857,"[BUG] authentication failure when using git dependency, project .npmrc and private npm registry",Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6857
6856,[BUG] `npm ls --all` throws ELSPROBLEMS with tree created by npm,Bug;Priority 1;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6856
6843,[BUG] npm freezes during update,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6843
6839,[DOCS] alias dependency in package.json,Priority 2;Documentation,Open,https://github.com/npm/cli/issues/6839
6836,[BUG] npm/node don't respect each other's versions,Bug;Priority 2;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6836
6827,[BUG] installation fails without a message ,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6827
6815,[BUG] `npm install` fails in my project since v7,Release 7.x;Release 8.x;Bug;Needs Triage;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6815
6809,[BUG] npm install truncates paths at #,Bug;Priority 2;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6809
6808,[BUG] In monorepositories `npm publish` and `npm pack` take into account `.gitignore` and ignore `.npmignore`,Bug;Priority 1;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6808
6805,[BUG] Option engine-strict=true is not compatible with --omit=dev,Bug;Priority 1;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6805
6804,[BUG] npx doesn't pull updates for the major version (even with --prefer-online),Bug;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6804
6803,[BUG] `npm pack` no longer auto-adds `npm-shrinkwrap.json` to tarball when `files` is specified,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6803
6799,[BUG] `npm start` updates cache from custom registry,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6799
6793,[BUG] ECONNRESET in smoke tests,Bug;Priority 2;Release 10.x;regression:10.x,Open,https://github.com/npm/cli/issues/6793
6789,[BUG] npm should use PowerShell by default on Windows,Bug;Needs Triage;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6789
6787,[BUG] `npm install` creates unsync `package-lock.json`,Bug;Priority 1;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6787
6786,[BUG] `npm unpublish <package>@<version> -f` unpublishes all versions,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6786
6778,[BUG] npm's strict engine check is confusing (when doing `npm install npm`),Bug;Needs Triage;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6778
6773,[DOCS] npm 10 docs list refers to upcoming changes in node 8,Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/6773
6772,[BUG] argumentless -w argument defaults to true ,Bug;Needs Triage;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6772
6766,[BUG] Tests crash out on ctrl-c,Bug;Priority 2;Release 9.x;Release 10.x,Open,https://github.com/npm/cli/issues/6766
6751,"[BUG] When lockfile-version=3, using a custom registry breaks npm audit",Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6751
6749,[BUG] arborist dependency elevation exception。,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6749
6746,[BUG] `npm publish` ignores symbolic links,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6746
6744,[BUG] Symlinks to .so files are not included in the npm package,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6744
6743,[BUG] `npm install` does not detect engine-compatible package properly,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6743
6742,[BUG] npm removes invalid references instead of failing with an error starting in `9.6.6` ,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6742
6731,[BUG] Install with --no-optional flag causes an update of optional peer dependency,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6731
6729,[BUG] NPM CI in github action fails,Release 8.x;Bug;Needs Triage,Open,https://github.com/npm/cli/issues/6729
6727,[BUG] (libnpmpublish) Publishing to private registry fails with EPUBLISHCONFLICT and @undefined version but it STILL ends up there with the right version,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6727
6726,[Backport Request] Backport #6142 to 9.2,,Open,https://github.com/npm/cli/issues/6726
6725,[BUG] Issue with Newly Published NPM Packages (invalid date),,Open,https://github.com/npm/cli/issues/6725
6723,[BUG] `npm pack <git-dependency>#<commit-hash>` fails in npm >= 9.6.5,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6723
6721,(feature request): add shortcut for --prefix,,Open,https://github.com/npm/cli/issues/6721
6720,[BUG] NPM install enters an infinite loop while using `--force`,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6720
6719,"[BUG] `npm version` command does not respect `config set tag-version-prefix """"` since >= v9.6.5",Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6719
6717,"Using npm@8.19.2, installing using git+ssh from our private git server fails, claiming ""Invalid URL"". The exact same URL works in npm@8.19.2.[BUG] <title>",Release 8.x;Bug;Needs Triage,Open,https://github.com/npm/cli/issues/6717
6716,[BUG] $EDITOR environment variable broken on Windows,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6716
6713,[BUG] VSCode does not provide suggestions/auto-complete for package installed as a dependency of another,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6713
6709,"[BUG] npm install keeps spawning pwsh processes, consumes all memory, and seem to never finish",Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6709
6705,[BUG] Inconsisitent output from `npm pkg get`,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6705
6704,[BUG] Could not resolve dependency while upgrading Nodejs 18.17.1 version,Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/6704
6702,[BUG] Getting stuck when installing 2 napi extensions at the same time,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6702
6701,"npm error Unexpected token "".""",Release 8.x;Bug;Needs Triage,Open,https://github.com/npm/cli/issues/6701
6700,Longer time for Installation,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6700
6698,Request: Remove the Warning about --production,,Open,https://github.com/npm/cli/issues/6698
6697,.npmrc location relative path,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6697
6696,[BUG] npm ERR! Cannot read properties of undefined (reading 'isStream'),Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6696
6692,[BUG] some NPM modules are outdated.,Release 8.x;Bug;Needs Triage,Open,https://github.com/npm/cli/issues/6692
6691,[BUG] Workspace packages are installed with `--workspaces=false` if root package has no dependencies,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6691
6690,[BUG] Extraneous packages are installed with `--workspaces=false` and `--omit=dev`,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6690
6684,[BUG] npm not handling process signals,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6684
6683,[BUG] 429 error when unpublishing and not logged in,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6683
6670,[BUG] installing in a scoped workspace with `--omit=dev` still installs devDependencies if they are workspace packages,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6670
6668,[BUG] npm run dev page render fine but npm run build this endpoint 404,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6668
6666,[BUG] npm ci executes locally but fails on all other machines,Release 8.x;Bug;Needs Triage,Open,https://github.com/npm/cli/issues/6666
6664,[BUG] npm cache clear --force does not clear npx cache,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6664
6663,[BUG] npm install command running as a npm script fails with lockfileVersion@3,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6663
6660,[DOCS] ,Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/6660
6658,[BUG] list omit dev not respected for linked dependencies' ,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6658
6652,Better npm login workflow for CI ,,Open,https://github.com/npm/cli/issues/6652
6648,[BUG] Referencing project in workspace when using npm create,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6648
6639,[BUG] Could not resolve dependency when using carrat ranges,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6639
6638,[BUG] CLI command dont fail when provided with invalid options,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6638
6636,[BUG] Can't login to NPM,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6636
6630,"[BUG] `npm outdated --json` only lists a single entry for each package, producing less than without `--json`",Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6630
6622,[BUG] Cannot set properties of null (setting 'peer'),Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6622
6621,Wrong install command for scoped/private packages (Windows 10+),,Open,https://github.com/npm/cli/issues/6621
6619,Info about the entry in package.json for which the corresponding dependency's warnings are shown while installing package,,Open,https://github.com/npm/cli/issues/6619
6618,[BUG] --scr and some other npm config variables not allowed,Release 8.x;Bug;Needs Triage,Open,https://github.com/npm/cli/issues/6618
6615,npm ERR! Exit handler never called!  npm ERR! This is an error with npm itself. Please report this error at: npm ERR!     <https://github.com/npm/cli/issues>  npm ERR! A complete log of this run can be found in: C:\Users\Stéphanie\AppData\Local\npm-cache\_logs\2023-06-29T14_08_54_583Z-debug-0.log,,Open,https://github.com/npm/cli/issues/6615
6614,[FEATURE REQUEST] workspaces: Configure directory which is linked during installation,,Open,https://github.com/npm/cli/issues/6614
6612,[BUG] installing with `--no-cache` creates a directory `false`,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6612
6611,[BUG] Infinite loop in npm install when trying to resolve dependencies.,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6611
6606,[BUG] Colon in working directory break package resolution,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6606
6605,[DOCS] the difference between /-/npm/v1/security/audits/quick and /-/npm/v1/security/audits,Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/6605
6603, Exit handler never called! This is an error with npm itself. Please report this error ...,,Open,https://github.com/npm/cli/issues/6603
6602,NPM v9.5.1 on Node.js v18.16.0 in AIX 7.2 TL5 the npm stop is not triggering,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6602
6589,Online install script currently broken,,Open,https://github.com/npm/cli/issues/6589
6578,"[BUG] unknown git error occurred, when install lots of git dep at same time",Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6578
6577,[BUG] ENOVERSIONS for undefined when using github dependency,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6577
6571,[BUG] npm update --save does not update dev packages in packages.json,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6571
6566,"[BUG] <title>npm ERR! request to https://registry.npmjs.org/@react-native-async-storage%2fasync-storage failed, reason: Socket connection timeout",Release 8.x;Bug;Needs Triage,Open,https://github.com/npm/cli/issues/6566
6565,[BUG] npm ls throws invalid package error for optional dependency of a different version found in dependency tree,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6565
6562,How do I clone the NPM Registry?,,Open,https://github.com/npm/cli/issues/6562
6559,[BUG] reify fails to track symlink modules,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6559
6558,[REGRESSION] Restore Complete JSON Output from 6.x,Bug;Priority 1;Release 9.x,Open,https://github.com/npm/cli/issues/6558
6553,"[BUG] Install using a raw IPv6 address registry, report: getaddrinfo ENOTFOUND ",Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6553
6552,NPM-CLI throwing Error for Python & Development with C++,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6552
6538,npm preventing the function of nvm.,,Open,https://github.com/npm/cli/issues/6538
6537,--install-strategy=nested still hoists workspace packages,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6537
6533,[BUG] npm install a specific package version in workspaces do not work as expected,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6533
6532,Exit handler never called error during npm install,Needs Triage;Documentation,Open,https://github.com/npm/cli/issues/6532
6521,[BUG] dev true is flaky,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6521
6520,[BUG] `npm-run` runs in background if it cannot write logs,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6520
6517,[BUG] npm install hangs for several minutes while downloading tarballs from registry that redirects package downloads to s3 links,Release 8.x;Bug;Needs Triage,Open,https://github.com/npm/cli/issues/6517
6513,[BUG] npm deprecate with large packuments is so slow OTPs expire,Registry;Bug;Priority 2;Release 9.x,Open,https://github.com/npm/cli/issues/6513
6512,Exit handler never called! error,Release 8.x;Bug;Needs Triage,Open,https://github.com/npm/cli/issues/6512
6510,[BUG] IOT instruction (core dumped) on `npx --node-options='--watch'`,Release 8.x;Bug;Needs Triage,Open,https://github.com/npm/cli/issues/6510
6509,[BUG] 503 when publishing a new version when we have too many existing versions,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6509
6506,[BUG] workspace scripts do not propagate exit codes,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6506
6504,[BUG] outdated shows unreachable packages which were released later chronologically,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6504
6503,[BUG] Bad resolution of dependencies of GitHub Packages,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6503
6502,[BUG] Add support for fine grained tokens,Bug;Needs Triage;Release 9.x,Open,https://github.com/npm/cli/issues/6502
